Time ,Speed
0,0
0.04,0.16
0.08,0.32
0.12,0.48
0.16,0.64
0.2,0.8
0.24,0.96
0.28,1.12
0.32,1.28
0.36,1.44
0.4,1.6
0.44,1.76
0.48,1.92
0.52,2.08
0.56,2.24
0.6,2.4
0.64,2.56
0.68,2.72
0.72,2.88
0.76,3.04
0.8,3.2
0.84,3.36
0.88,3.52
0.92,3.68
0.96,3.84
1,4
1.04,4.16
1.08,4.32
1.12,4.48
1.16,4.64
1.2,4.8
1.24,4.96
1.28,5.12
1.32,5.28
1.36,5.44
1.4,5.6
1.44,5.76
1.48,5.92
1.52,6.08
1.56,6.24
1.6,6.4
1.64,6.56
1.68,6.72
1.72,6.88
1.76,7.04
1.8,7.2
1.84,7.36
1.88,7.52
1.92,7.68
1.96,7.84
2,8
2.04,7.84
2.08,7.68
2.12,7.51
2.16,7.35
2.2,7.19
2.24,7.03
2.28,6.86
2.32,6.7
2.36,6.54
2.4,6.38
2.44,6.22
2.48,6.05
2.52,5.89
2.56,5.73
2.6,5.57
2.64,5.41
2.68,5.24
2.72,5.08
2.76,4.92
2.8,4.76
2.84,4.59
2.88,4.43
2.92,4.27
2.96,4.11
3,3.95
3.04,3.78
3.08,3.62
3.12,3.46
3.16,3.3
3.2,3.14
3.24,2.97
3.28,2.81
3.32,2.65
3.36,2.49
3.4,2.32
3.44,2.16
3.48,2
3.52,2
3.56,2
3.6,2
3.64,2
3.68,2
3.72,2
3.76,2
3.8,2
3.84,2
3.88,2
3.92,2
3.96,2
4,2
4.04,2
4.08,2
4.12,2
4.16,2
4.2,2
4.24,2
4.28,2
4.32,2
4.36,2
4.4,2
4.44,2
4.48,2
4.52,2
4.56,2
4.6,2
4.64,2
4.68,2
4.72,2
4.76,2
4.8,2
4.84,2
4.88,2
4.92,2
4.96,2
5,2
5.04,2
5.08,2
5.12,2
5.16,2
5.2,2
5.24,2
5.28,2
5.32,2
5.36,2
5.4,2
5.44,2
5.48,2
5.52,2
5.56,2
5.6,2
5.64,2
5.68,2
5.72,2
5.76,2
5.8,2
5.84,2
5.88,2
5.92,2
5.96,2
6,2
6.04,2.17
6.08,2.33
6.12,2.5
6.16,2.67
6.2,2.83
6.24,3
6.28,3.17
6.32,3.33
6.36,3.5
6.4,3.67
6.44,3.83
6.48,4
6.52,4.17
6.56,4.33
6.6,4.5
6.64,4.67
6.68,4.83
6.72,5
6.76,5.17
6.8,5.33
6.84,5.5
6.88,5.67
6.92,5.83
6.96,6
7,6
7.04,5.84
7.08,5.68
7.12,5.51
7.16,5.35
7.2,5.19
7.24,5.03
7.28,4.86
7.32,4.7
7.36,4.54
7.4,4.38
7.44,4.22
7.48,4.05
7.52,3.89
7.56,3.73
7.6,3.57
7.64,3.41
7.68,3.24
7.72,3.08
7.76,2.92
7.8,2.76
7.84,2.59
7.88,2.43
7.92,2.27
7.96,2.11
8,1.95
8.04,1.78
8.08,1.62
8.12,1.46
8.16,1.3
8.2,1.14
8.24,0.97
8.28,0.81
8.32,0.65
8.36,0.49
8.4,0.32
8.44,0.16
8.48,0
8.52,0
8.56,0
8.6,0
8.64,0
8.68,0
8.72,0
8.76,0
8.8,0
8.84,0
8.88,0
8.92,0
8.96,0
9,0
9.04,0
9.08,0
9.12,0
9.16,0
9.2,0
9.24,0
9.28,0
9.32,0
9.36,0
9.4,0
9.44,0
9.48,0
9.52,0
9.56,0
9.6,0
9.64,0
9.68,0
9.72,0
9.76,0
9.8,0
9.84,0
9.88,0
9.92,0
9.96,0
10,0
10.04,0
10.08,0
10.12,0
10.16,0
10.2,0
10.24,0
10.28,0
10.32,0
10.36,0
10.4,0
10.44,0
10.48,0
10.52,0
10.56,0
10.6,0
10.64,0
10.68,0
10.72,0
10.76,0
10.8,0
10.84,0
10.88,0
10.92,0
10.96,0
11,0
11.04,0
11.08,0
11.12,0
11.16,0
11.2,0
11.24,0
11.28,0
11.32,0
11.36,0
11.4,0
11.44,0
11.48,0
11.52,0
11.56,0
11.6,0
11.64,0
11.68,0
11.72,0
11.76,0
11.8,0
11.84,0
11.88,0
11.92,0
11.96,0
12,0
12.04,0
12.08,0
12.12,0
12.16,0
12.2,0
12.24,0
12.28,0
