Time ,speed
0,4
0.04,4.17
0.08,4.33
0.12,4.5
0.16,4.67
0.2,4.83
0.24,5
0.28,5.17
0.32,5.33
0.36,5.5
0.4,5.67
0.44,5.83
0.48,6
0.52,5.92
0.56,5.84
0.6,5.76
0.64,5.68
0.68,5.6
0.72,5.52
0.76,5.44
0.8,5.36
0.84,5.28
0.88,5.2
0.92,5.12
0.96,5.04
1,4.96
1.04,4.88
1.08,4.8
1.12,4.72
1.16,4.64
1.2,4.56
1.24,4.48
1.28,4.4
1.32,4.32
1.36,4.24
1.4,4.16
1.44,4.08
1.48,4
1.52,3.92
1.56,3.84
1.6,3.76
1.64,3.68
1.68,3.6
1.72,3.52
1.76,3.44
1.8,3.36
1.84,3.28
1.88,3.2
1.92,3.12
1.96,3.04
2,2.96
2.04,2.88
2.08,2.8
2.12,2.72
2.16,2.64
2.2,2.56
2.24,2.48
2.28,2.4
2.32,2.32
2.36,2.24
2.4,2.16
2.44,2.08
2.48,2
2.52,1.92
2.56,1.84
2.6,1.76
2.64,1.68
2.68,1.6
2.72,1.52
2.76,1.44
2.8,1.36
2.84,1.28
2.88,1.2
2.92,1.12
2.96,1.04
3,0.96
3.04,0.88
3.08,0.8
3.12,0.72
3.16,0.64
3.2,0.56
3.24,0.48
3.28,0.4
3.32,0.32
3.36,0.24
3.4,0.16
3.44,0.08
3.48,0
3.52,0
3.56,0
3.6,0
3.64,0
3.68,0
3.72,0
3.76,0
3.8,0
3.84,0
3.88,0
3.92,0
3.96,0
4,0
4.04,0
4.08,0
4.12,0
4.16,0
4.2,0
4.24,0
4.28,0
4.32,0
4.36,0
4.4,0
4.44,0
4.48,0
4.52,0
4.56,0
4.6,0
4.64,0
4.68,0
4.72,0
4.76,0
4.8,0
4.84,0
4.88,0
4.92,0
4.96,0
5,0
5.04,0
5.08,0
5.12,0
5.16,0
5.2,0
5.24,0
5.28,0
5.32,0
5.36,0
5.4,0
5.44,0
5.48,0
5.52,0
5.56,0
5.6,0
5.64,0
5.68,0
5.72,0
5.76,0
5.8,0
5.84,0
5.88,0
5.92,0
5.96,0
6,0
6.04,0
6.08,0
6.12,0
6.16,0
6.2,0
6.24,0
6.28,0
6.32,0
6.36,0
6.4,0
6.44,0
6.48,0
6.52,0
6.56,0
6.6,0
6.64,0
6.68,0
6.72,0
6.76,0
6.8,0
6.84,0
6.88,0
6.92,0
6.96,0
7,0
7.04,0.09
7.08,0.17
7.12,0.26
7.16,0.34
7.2,0.43
7.24,0.51
7.28,0.6
7.32,0.68
7.36,0.77
7.4,0.85
7.44,0.94
7.48,1.02
7.52,1.11
7.56,1.19
7.6,1.28
7.64,1.36
7.68,1.45
7.72,1.53
7.76,1.62
7.8,1.7
7.84,1.79
7.88,1.87
7.92,1.96
7.96,2.04
8,2.13
8.04,2.21
8.08,2.3
8.12,2.38
8.16,2.47
8.2,2.55
8.24,2.64
8.28,2.72
8.32,2.81
8.36,2.89
8.4,2.98
8.44,3.06
8.48,3.15
8.52,3.23
8.56,3.32
8.6,3.4
8.64,3.49
8.68,3.57
8.72,3.66
8.76,3.74
8.8,3.83
8.84,3.91
8.88,4
8.92,0
8.96,0
9,0
9.04,0
9.08,0
9.12,0
9.16,0
9.2,0
9.24,0
9.28,0
9.32,0
9.36,0
9.4,0
9.44,0
9.48,0
9.52,0
9.56,0
9.6,0
9.64,0
9.68,0
9.72,0
9.76,0
9.8,0
9.84,0
9.88,0
9.92,0
9.96,0
10,0
10.04,0
10.08,0
10.12,0
10.16,0
10.2,0
10.24,0
10.28,0
10.32,0
10.36,0
10.4,0
10.44,0
10.48,0
10.52,0
10.56,0
10.6,0
10.64,0
10.68,0
10.72,0
10.76,0
10.8,0
10.84,0
10.88,0
10.92,0
10.96,0
